1	-29404.8
1	-1450.9
1	4652.5
2	-2499.6
2	2982.0
2	-2991.6
2	1677.0
2	-734.6
3	1363.2
3	-2381.2
3	-82.1
3	1236.2
3	241.9
3	525.7
3	-543.4
4	903.0
4	809.5
4	281.9
4	86.3
4	-158.4
4	-309.4
4	199.7
4	48.0
4	-349.7
5	-234.3
5	363.2
5	47.7
5	187.8
5	208.3
5	-140.7
5	-121.2
5	-151.2
5	32.3
5	13.5
5	98.9
6	66.0
6	65.5
6	-19.1
6	72.9
6	25.1
6	-121.5
6	52.8
6	-36.2
6	-64.5
6	13.5
6	8.9
6	-64.7
6	68.1
7	80.6
7	-76.7
7	-51.5
7	-8.2
7	-16.9
7	56.5
7	2.2
7	15.8
7	23.5
7	6.4
7	-2.2
7	-7.2
7	-27.2
7	9.8
7	-1.8
8	23.7
8	9.7
8	8.4
8	-17.6
8	-15.3
8	-0.5
8	12.8
8	-21.1
8	-11.7
8	15.3
8	14.9
8	13.7
8	3.6
8	-16.5
8	-6.9
8	-0.3
8	2.8
9	5.0
9	8.4
9	-23.4
9	2.9
9	11.0
9	-1.5
9	9.8
9	-1.1
9	-5.1
9	-13.2
9	-6.3
9	1.1
9	7.8
9	8.8
9	0.4
9	-9.3
9	-1.4
9	-11.9
9	9.6
10	-1.9
10	-6.2
10	3.4
10	-0.1
10	-0.2
10	1.7
10	3.6
10	-0.9
10	4.8
10	0.7
10	-8.6
10	-0.9
10	-0.1
10	1.9
10	-4.3
10	1.4
10	-3.4
10	-2.4
10	-0.1
10	-3.8
10	-8.8
11	3.0
11	-1.4
11	0.0
11	-2.5
11	2.5
11	2.3
11	-0.6
11	-0.9
11	-0.4
11	0.3
11	0.6
11	-0.7
11	-0.2
11	-0.1
11	-1.7
11	1.4
11	-1.6
11	-0.6
11	-3.0
11	0.2
11	-2.0
11	3.1
11	-2.6
12	-2.0
12	-0.1
12	-1.2
12	0.5
12	0.5
12	1.3
12	1.4
12	-1.2
12	-1.8
12	0.7
12	0.1
12	0.3
12	0.8
12	0.5
12	-0.2
12	-0.3
12	0.6
12	-0.5
12	0.2
12	0.1
12	-0.9
12	-1.1
12	0.0
12	-0.3
12	0.5
13	0.1
13	-0.9
13	-0.9
13	0.5
13	0.6
13	0.7
13	1.4
13	-0.3
13	-0.4
13	0.8
13	-1.3
13	0.0
13	-0.1
13	0.8
13	0.3
13	0.0
13	-0.1
13	0.4
13	0.5
13	0.1
13	0.5
13	0.5
13	-0.4
13	-0.5
13	-0.4
13	-0.4
13	-0.6
